﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2020/21"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2022
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2020/21 
Search:,


"UKPRN","HE provider","First degree","Foundation degree","HNC/HND","Professional graduate certificate in education","Other undergraduate","Total undergraduate"
"10039956","The University of Law","530","0","0","0","1,255","1,785"
"10007784","University College London","5,615","0","0","0","180","5,795"
"10007793","University of South Wales","3,730","565","290","0","685","5,270"
"10007163","The University of Warwick","5,065","20","0","20","455","5,560"
"10007361","Waverley Abbey College","10","0","0","0","10","20"
"10007164","University of the West of England, Bristol","5,720","125","0","0","280","6,125"
"10007800","The University of the West of Scotland","2,985","0","0","0","240","3,225"
"10032288","West Dean College","0","5","0","0","20","25"
"10006566","The University of West London","2,545","190","0","0","200","2,935"
"10007165","The University of Westminster","3,495","30","0","0","490","4,015"
"10003614","The University of Winchester","1,875","0","0","5","130","2,010"
"10007166","The University of Wolverhampton","2,675","190","40","35","580","3,520"
"10007139","University of Worcester","1,895","430","0","0","220","2,545"
"10007657","Writtle University College","140","5","0","0","60","205"
"10007713","York St John University","1,620","15","0","15","90","1,740"
"10007167","The University of York","3,815","0","0","0","505","4,320"
"","Total","448,435","11,060","7,845","1,680","58,050","527,070"
